"","name","shares","coord.shares","account.avg.subscriberCount","account.platform","account.name","account.platformId","name.changed","account.handle","handle.changed","account.verified","pageAdminTopCountry.changed","account.pageAdminTopCountry","account.accountType","account.pageCreatedDate","account.pageDescription","account.pageDescription.changed","account.pageCategory","account.pageCategory.changed","degree","component","cluster","strength"
"2181","https://www.facebook.com/102544412037290",15,12,13503,"Facebook","Veci-Verejné.sk","100068889856848",FALSE,"veciverejnesk",FALSE,FALSE,FALSE,"SK","facebook_page","2021-05-23 20:14:40","Spravodajský web www.veci-verejne.sk 
Poskytujeme aktuálne spravodajstvo z domova a zahraničia

",FALSE,"NEWS_SITE",FALSE,1,137,147,12
"2182","https://www.facebook.com/143423336065618",16,12,23876,"Facebook","Veci Verejné","100064201411815",FALSE,"veciverejneslovensko",FALSE,FALSE,FALSE,"SK","facebook_page","2016-06-25 15:30:46","Spravodajský web www.veci-verejne.sk 
Poskytujeme aktuálne spravodajstvo z domova a zahraničia",FALSE,"NEWS_SITE",FALSE,1,137,147,12
"2183","https://www.facebook.com/groups/1641668309456447",48,23,4278,"Facebook","Inštitút ochrany ústavných práv v","1641668309456447",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,10,1,1,92
"2184","https://www.facebook.com/groups/539885692704094",125,10,1060,"Facebook","MAINTENANT C'EST TRÈS TRÈS TRÈS  CLAIR VOTONS POUR LA FRANCE INSOUMISE","539885692704094",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,3,5,5,16
"2185","https://www.facebook.com/groups/2403048966387233",37,19,13110,"Facebook","報道されない事実","2403048966387233",FALSE,"NA",FALSE,FALSE,FALSE,"NA","facebook_group",NA,"NA",FALSE,"none",FALSE,3,51,59,25
"2186","https://www.facebook.com/490195108170017",66,55,1718,"Facebook","For Liberty","490195108170017",FALSE,"ForLibertyNews",FALSE,FALSE,FALSE,"US","facebook_page","2018-12-11 20:55:55","News & media website",FALSE,"NEWS_SITE",FALSE,11,138,148,441
"2187","https://www.facebook.com/107236634004680",71,59,104,"Facebook","National Republican Polling","100063937271837",FALSE,"",FALSE,FALSE,FALSE,"US","facebook_page","2019-09-16 20:46:50","News & media website",FALSE,"NEWS_SITE",FALSE,11,138,148,454
"2188","https://www.facebook.com/1631788570387672",66,56,10366,"Facebook","American Defense News","100063991745460",FALSE,"AmDefenseNews",FALSE,FALSE,FALSE,"US","facebook_page","2015-04-06 18:32:19","News about defense, security and foreign affairs for conservative veterans and patriots.",FALSE,"MEDIA_NEWS_COMPANY",FALSE,11,138,148,430
"2189","https://www.facebook.com/223008867858902",81,60,929076,"Facebook","American Action News","100066720822264",FALSE,"AmActionNews",FALSE,FALSE,FALSE,"US","facebook_page","2013-09-23 20:36:26","News for the Conservative movement sweeping across America.
Twitter/Truth Social: @AmerActionNews",FALSE,"MEDIA_NEWS_COMPANY",FALSE,11,138,148,441
"2190","https://www.facebook.com/209503689968642",70,60,85,"Facebook","Media Alert","100066696340635",FALSE,"mediaalerttoday",FALSE,FALSE,FALSE,"US","facebook_page","2018-11-30 22:12:49","Interest",FALSE,"ACTIVITY_GENERAL",FALSE,11,138,148,467
